route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
135-111,0,135,Ltd Stop - Grand Av S - Mpls,,3,http://www.metrotransit.org/route/135,,000000
141-111,0,141,Ltd Stop - New Brighton - Johnson St - Mpls,,3,http://www.metrotransit.org/route/141,,000000
146-111,0,146,Ltd Stop -  Vernon Av - 50th St - Mpls,,3,http://www.metrotransit.org/route/146,,000000
156-111,0,156,Express - 58th St - 56th St - Diamond Lake - Mpls,,3,http://www.metrotransit.org/route/156,,000000
219-111,2,219,Maplewood - Century Av - Hadley Av - Sunray,,3,http://www.metrotransit.org/route/219,,000000
223-111,2,223,Rosedale - Little Canada - Maplewood,,3,http://www.metrotransit.org/route/223,,000000
225-111,2,225,Deluxe - Roseville - Coventry - Rosedale,,3,http://www.metrotransit.org/route/225,,000000
227-111,2,227,Target Shoreview - Victoria - Rosedale,,3,http://www.metrotransit.org/route/227,,000000
250-111,0,250,Express - St Josephs P&R - 95th Av P&R - Mpls,,3,http://www.metrotransit.org/route/250,,000000
252-111,0,252,Express - 95Av P&R - U of M,,3,http://www.metrotransit.org/route/252,,000000
261-111,0,261,Express - Shoreview - Roseville - Mpls,,3,http://www.metrotransit.org/route/261,,000000
262-111,0,262,Ltd Stop - 95Av P&R - Shoreview  Rice - St Paul,,3,http://www.metrotransit.org/route/262,,000000
263-111,0,263,Express - Hwy 36 Rice P&R - Hwy 61 - Co Rd C -Mpls,,3,http://www.metrotransit.org/route/263,,000000
264-111,0,264,Express - Roseville - Co Rd C P & R - Mpls,,3,http://www.metrotransit.org/route/264,,000000
265-111,0,265,Express - White Bear Lake - Maplewood - St Paul,,3,http://www.metrotransit.org/route/265,,000000
270-111,0,270,Express - Mahtomedi - Maplewood - Minneapolis,,3,http://www.metrotransit.org/route/270,,000000
272-111,0,272,Express - Maplewood - Roseville - U of M,,3,http://www.metrotransit.org/route/272,,000000
275-111,0,275,Express - Forest Lake - Co Rd 14 P&R - St Paul,,3,http://www.metrotransit.org/route/275,,000000
288-111,0,288,Express - Forest Lake - Mpls,,3,http://www.metrotransit.org/route/288,,000000
294-111,0,294,Express - Oakdale - Stillwater - St Paul,,3,http://www.metrotransit.org/route/294,,000000
350-111,2,350,Ltd Stop - Sunray - McKnight - St Paul,,3,http://www.metrotransit.org/route/350,,000000
351-111,0,351,Express - Woodbury - St Paul,,3,http://www.metrotransit.org/route/351,,000000
355-111,0,355,Express - Woodbury - Mpls,,3,http://www.metrotransit.org/route/355,,000000
361-111,0,361,Express - Cottage Grove - St Paul,,3,http://www.metrotransit.org/route/361,,000000
364-111,2,364,Express - Newport - Cottage Grove - St Paul,,3,http://www.metrotransit.org/route/364,,000000
365-111,0,365,Express - Cottage Grove - Newport - Mpls,,3,http://www.metrotransit.org/route/365,,000000
375-111,0,375,Express - Oakdale - Mpls,,3,http://www.metrotransit.org/route/375,,000000
415-111,0,415,MOA - Mendota Heights - Eagan,,3,http://www.metrotransit.org/route/415,,000000
417-111,2,417,Mendota Heights - St Paul,,3,http://www.metrotransit.org/route/417,,000000
452-111,0,452,Express -Mendota Heights - West St Paul - Mpls,,3,http://www.metrotransit.org/route/452,,000000
467-111,0,467,Express - Lakeville - Mpls,,3,http://www.metrotransit.org/route/467,,000000
515-111,0,515,Southdale - 66th St - Bloomington Av - VA - MOA,,3,http://www.metrotransit.org/route/515,,000000
535-111,0,535,Ltd Stop - South Bloomington - Richfield - Mpls,,3,http://www.metrotransit.org/route/535,,000000
537-111,2,537,Valley West - Normandale Col - France - Southdale,,3,http://www.metrotransit.org/route/537,,000000
538-111,2,538,Southdale - York Av - Southtown - 86th St - MOA,,3,http://www.metrotransit.org/route/538,,000000
539-111,2,539,Southtown - Normandale -Valley West - 98th - MOA,,3,http://www.metrotransit.org/route/539,,000000
540-111,2,540,Edina - Richfield - 77th St - MOA,,3,http://www.metrotransit.org/route/540,,000000
542-111,2,542,84th St - 76th St - American Blvd - MOA,,3,http://www.metrotransit.org/route/542,,000000
552-111,0,552,Express - 12th Av - Bloomington Av - Mpls,,3,http://www.metrotransit.org/route/552,,000000
553-111,0,553,Express - Bloomington - Portland Av - Mpls,,3,http://www.metrotransit.org/route/553,,000000
554-111,0,554,Express - Bloomington - Nicollet Av - Mpls,,3,http://www.metrotransit.org/route/554,,000000
558-111,0,558,Express - Lyndale Av - Penn Av - 66th St - Mpls,,3,http://www.metrotransit.org/route/558,,000000
578-111,0,578,Express - Edina - Southdale - Mpls,,3,http://www.metrotransit.org/route/578,,000000
579-111,0,579,Express - Southdale - U of M,,3,http://www.metrotransit.org/route/579,,000000
587-111,0,587,Express - Edina - Valley View -Vernon - Mpls,,3,http://www.metrotransit.org/route/587,,000000
588-111,0,588,Express -  Normandale Lake Offices - Mpls,,3,http://www.metrotransit.org/route/588,,000000
589-111,0,589,Express - West Bloomington - Mpls,,3,http://www.metrotransit.org/route/589,,000000
597-111,0,597,Express - West Bloomington - Mpls,,3,http://www.metrotransit.org/route/597,,000000
600-111,6,600,SW Transit - Flex Route,,3,http://www.metrotransit.org/route/600,,000000
602-111,6,602,SW Transit - Flex Route,,3,http://www.metrotransit.org/route/602,,000000
603-111,6,603,SW Transit - Flex Route,,3,http://www.metrotransit.org/route/603,,000000
604-111,2,604,Louisiana Av - Excelsior Blvd,,3,http://www.metrotransit.org/route/604,,000000
612-111,0,612,Uptown - Excelsior Blvd-Hopkins - Hopkins - Opus,,3,http://www.metrotransit.org/route/612,,000000
614-111,2,614,Ridgedale - Minnetonka Heights,,3,http://www.metrotransit.org/route/614,,000000
615-111,2,615,Ridgedale - Co Rd 73 - St Louis Park,,3,http://www.metrotransit.org/route/615,,000000
643-111,0,643,Ltd Stop - Golden Hills Dr - Cedar Lake Rd - Mpls,,3,http://www.metrotransit.org/route/643,,000000
645-111,0,645,Ltd Stop - Mound - Wayzata - Ridgedale - Mpls,,3,http://www.metrotransit.org/route/645,,000000
652-111,0,652,Express - Plymouth Rd - Co Rd 73 P&R - U of M,,3,http://www.metrotransit.org/route/652,,000000
663-111,0,663,Express - Cedar Lake Rd - Mpls,,3,http://www.metrotransit.org/route/663,,000000
664-111,0,664,Express - Hopkins - Excelsior Blvd - Mpls,,3,http://www.metrotransit.org/route/664,,000000
667-111,0,667,Express - Minnetonka - St Louis Park - Mpls,,3,http://www.metrotransit.org/route/667,,000000
668-111,0,668,Express - Hopkins - St Louis Park - Mpls,,3,http://www.metrotransit.org/route/668,,000000
670-111,2,670,Express - Excelsior - Mpls,,3,http://www.metrotransit.org/route/670,,000000
671-111,2,671,Express - Excelsior - Deephaven - Mpls,,3,http://www.metrotransit.org/route/671,,000000
672-111,0,672,Express - Wayzata - Minnetonka - Mpls,,3,http://www.metrotransit.org/route/672,,000000
673-111,0,673,Express - Co Rd 73 P&R - Mpls,,3,http://www.metrotransit.org/route/673,,000000
674-111,0,674,Express - Maple Plain -Orono - Wayzata - Mpls,,3,http://www.metrotransit.org/route/674,,000000
677-111,0,677,Express- Mound - Orono - Plymouth Rd - Mpls,,3,http://www.metrotransit.org/route/677,,000000
690-111,6,690,SW Transit - Express - Eden Prairie - Mpls,,3,http://www.metrotransit.org/route/690,,000000
695-111,6,695,SW Transit - Express - Chaska - Chanhassen - Mpls,,3,http://www.metrotransit.org/route/695,,000000
697-111,6,697,SW Transit - Express - Carver - Chaska - Mpls,,3,http://www.metrotransit.org/route/697,,000000
698-111,6,698,SW Transit - Express - Chaska - Chanhassen - Mpls,,3,http://www.metrotransit.org/route/698,,000000
699-111,6,699,SW Transit - Express - Chanhassen - Mpls,,3,http://www.metrotransit.org/route/699,,000000
705-111,2,705,Starlite - Winnetka Av - Louisiana Av Transit Ctr,,3,http://www.metrotransit.org/route/705,,000000
716-111,2,716,Zane Av - 63rd Av - Crystal - Robbinsdale,,3,http://www.metrotransit.org/route/716,,000000
717-111,2,717,Brooklyn Center - Robbinsdale - Plymouth,,3,http://www.metrotransit.org/route/717,,000000
721-111,0,721,Ltd Stop - Brooklyn Center - Target Campus - Mpls,,3,http://www.metrotransit.org/route/721,,000000
722-111,0,722,Brooklyn Ctr - Humboldt - Shingle Creek,,3,http://www.metrotransit.org/route/722,,000000
723-111,0,723,Starlite - N Henn Comm College - Brooklyn Ctr,,3,http://www.metrotransit.org/route/723,,000000
724-111,0,724,Ltd Stop - Target Campus - Starlite - Brooklyn Ctr,,3,http://www.metrotransit.org/route/724,,000000
740-111,5,740,Plymouth - Fernbrook Ln - Xenium Ln,,3,http://www.metrotransit.org/route/740,,000000
741-111,5,741,Plymouth - Annapolis - Campus Dr - Station 73,,3,http://www.metrotransit.org/route/741,,000000
742-111,5,742,Plymouth - Express - Bass Lake Rd,,3,http://www.metrotransit.org/route/742,,000000
747-111,5,747,Plymouth - Express - Station 73 - Mpls,,3,http://www.metrotransit.org/route/747,,000000
755-111,0,755,Ltd Stop - Hwy 55 - Golden Valley Rd - Winnetka Av,,3,http://www.metrotransit.org/route/755,,000000
756-111,0,756,Express- Hwy 55 - Mendelssohn Rd - Boone  - Mpls,,3,http://www.metrotransit.org/route/756,,000000
758-111,0,758,Express - Douglas - MnDot P&R - Noble - Mpls,,3,http://www.metrotransit.org/route/758,,000000
760-111,0,760,Express - Zane Av - 63rd Av - 65th Av P&R - Mpls,,3,http://www.metrotransit.org/route/760,,000000
761-111,0,761,Express - Brooklyn Park - Xerxes - 49th Av - Mpls,,3,http://www.metrotransit.org/route/761,,000000
762-111,2,762,Ltd Stop - Brooklyn Ctr - Humboldt Av - Mpls,,3,http://www.metrotransit.org/route/762,,000000
763-111,0,763,Express - 85th Av - Brookdale Dr - Humboldt - Mpls,,3,http://www.metrotransit.org/route/763,,000000
764-111,0,764,Express - Winnetka Av - 42nd Av - Mpls,,3,http://www.metrotransit.org/route/764,,000000
765-111,0,765,Express - Target - Hwy 252 and 73rd Av P&R - Mpls,,3,http://www.metrotransit.org/route/765,,000000
766-111,0,766,Express - Anoka -  Champlin - W River Rd - Mpls,,3,http://www.metrotransit.org/route/766,,000000
767-111,0,767,Express - 63rd Av P&R - 65th Av P&R - Mpls,,3,http://www.metrotransit.org/route/767,,000000
768-111,0,768,Express - Noble P&R - Mpls,,3,http://www.metrotransit.org/route/768,,000000
771-111,5,771,Plymouth - Shuttle - SW Plymouth - Station 73,,3,http://www.metrotransit.org/route/771,,000000
772-111,5,772,Plymouth - Express - Station 73,,3,http://www.metrotransit.org/route/772,,000000
774-111,5,774,Plymouth - Express - Station 73,,3,http://www.metrotransit.org/route/774,,000000
776-111,5,776,Plymouth - Express - Southwest Plymouth,,3,http://www.metrotransit.org/route/776,,000000
777-111,5,777,Plymouth - Express - NW Plymouth - Station 73,,3,http://www.metrotransit.org/route/777,,000000
780-111,4,780,Maple Grove - Express - Shepherd of the Grove P&R,,3,http://www.metrotransit.org/route/780,,000000
781-111,4,781,Maple Grove - Express - Maple Grove Station,,3,http://www.metrotransit.org/route/781,,000000
782-111,4,782,Maple Grove - Express - Zachary and 96th Av P&R,,3,http://www.metrotransit.org/route/782,,000000
783-111,4,783,Maple Grove - Express - Crosswinds Church P&R,,3,http://www.metrotransit.org/route/783,,000000
785-111,4,785,Maple Grove - Express - Parkway Station,,3,http://www.metrotransit.org/route/785,,000000
787-111,4,787,Maple Grove - Midday Shuttle - Flex Route,,3,http://www.metrotransit.org/route/787,,000000
788-111,4,788,Maple Grove - Bass Lake Rd - Crosswinds Church P&R,,3,http://www.metrotransit.org/route/788,,000000
789-111,4,789,Maple Grove - Express - Maple Grove Sta - U of M,,3,http://www.metrotransit.org/route/789,,000000
790-111,5,790,Plymouth - Express - Cub Foods - Four Seasons,,3,http://www.metrotransit.org/route/790,,000000
791-111,5,791,Plymouth - Shuttle - Larch Ln - Four Seasons,,3,http://www.metrotransit.org/route/791,,000000
793-111,5,793,Plymouth - Express - Cub Foods - Four Seasons,,3,http://www.metrotransit.org/route/793,,000000
795-111,5,795,Plymouth - Express - Midday - Northeast Plymouth,,3,http://www.metrotransit.org/route/795,,000000
801-111,2,801,Brooklyn Ctr - Columbia Heights - Rosedale,,3,http://www.metrotransit.org/route/801,,000000
805-111,2,805,Anoka Traveler - Anoka - Coon Rapids - Northtown,,3,http://www.metrotransit.org/route/805,,000000
824-111,0,824,Ltd Stop - Northtown - Monroe - University - Mpls,,3,http://www.metrotransit.org/route/824,,000000
825-111,0,825,Ltd Stop - Northtown - St. Anthony - Mpls,,3,http://www.metrotransit.org/route/825,,000000
831-111,2,831,Anoka Traveler - 117th Av - Polk - Northtown,,3,http://www.metrotransit.org/route/831,,000000
850-111,0,850,Express - Riverdale P&R - Foley P&R - Mpls,,3,http://www.metrotransit.org/route/850,,000000
852-111,0,852,Express - Anoka - Coon Rapids - Northtown - Mpls,,3,http://www.metrotransit.org/route/852,,000000
854-111,0,854,Express - Paul Pkwy - Northdale - Northtown - Mpls,,3,http://www.metrotransit.org/route/854,,000000
860-111,0,860,Express - Coon Rapids - Northtown - St Paul,,3,http://www.metrotransit.org/route/860,,000000
865-111,0,865,Express - Paul Pkwy P&R - Blaine - Mpls,,3,http://www.metrotransit.org/route/865,,000000
887-111,15,887,Northstar Link - St Cloud Link,,3,http://www.metrotransit.org/route/887,,000000
888-111,0,888,Northstar - Big Lake - Elk River - Anoka - Mpls,,2,http://www.metrotransit.org/route/888,,000000
901-111,0,Blue,METRO Blue Line,,0,http://www.metrotransit.org/route/901,0055A5,FFFFFF
902-111,0,Green,METRO Green Line,,0,http://www.metrotransit.org/route/902,00B100,FFFFFF
921-111,0,A Line,A Line,,3,http://www.metrotransit.org/route/921,58595B,FFFFFF
923-111,0,C Line,C Line,,3,http://www.metrotransit.org/route/923,58595B,FFFFFF
411-71,15,ML,Mystic Lake Shuttle,Local Weekday-Saturday-Sunday,3,http://www.mysticlake.com/free-shuttle,800080,FFFFFF
420-71,3,420,Rosemount-Apple Valley Flex,Flex Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=420,5C5D5F,FFFFFF
421-71,3,421,Burnsville-Savage Flex,Flex Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=421,5C5D5F,FFFFFF
426-71,3,426,Burnsville Shuttle,Local Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=426,008641,FFFFFF
436-71,3,436,Eagan Hwy 55 Rev Comm,Local Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=436,008641,FFFFFF
438-71,3,438,Cliff Lake Flex,Local Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=438,008641,FFFFFF
440-71,3,440,Apple Valley-Cedar Grove-VA Hospital,Local Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=440,89564F,FFFFFF
442-71,3,442,Burnsville Center-Apple Valley,Local Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=442,71BF44,FFFFFF
444-71,3,444,Savage-Burnsville-Mall of America,Local Weekday-Saturday-Sunday,3,http://www.mvta.com/bus_route_information_2.html?routeId=444,89564F,FFFFFF
445-71,3,445,Eagan-Cedar Grove,Local Weekday-Saturday-Sunday,3,http://www.mvta.com/bus_route_information_2.html?routeId=445,71BF44,FFFFFF
446-71,3,446,Eagan-46th Street LRT,Local Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=446,6C723F,FFFFFF
460-71,3,460,Burnsville-Minneapolis,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=460,92278F,FFFFFF
464-71,3,464,Savage-Burnsville-Minneapolis,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=464,EC008C,FFFFFF
465-71,3,465,Burnsville-Minneapolis-U of M,Express Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=465,ED2028,FFFFFF
470-71,3,470,Eagan-Minneapolis,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=470,92278F,FFFFFF
472-71,3,472,Eagan Blackhawk-Minneapolis,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=472,EC008C,FFFFFF
475-71,3,475,Apple Valley-Cedar Grove-Mpls/U of M,Express Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=475,00AEEF,FFFFFF
476-71,3,476,Palomino Hills-Minneapolis,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=476,00AEEF,FFFFFF
477-71,3,477,Lakeville/Apple Valley-Mpls,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=477,92278F,FFFFFF
478-71,3,478,Rosemount-Minneapolis,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=478,EC008C,FFFFFF
479-71,3,479,157th Street-Minneapolis,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=479,EC008C,FFFFFF
480-71,3,480,Apple Valley/Burnsville-St Paul,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=480,ED2028,FFFFFF
484-71,3,484,Eagan/Rosemount-St Paul,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=484,00AEEF,FFFFFF
489-71,3,489,St Paul-Eagan Rev Comm,Local Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=489,89564F,FFFFFF
490-71,3,490,Prior Lake-Shakopee-Minneapolis,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=490,ED2028,FFFFFF
491-71,3,491,Scott County-Minneapolis Rev Commute,Reverse Commute Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=491,00AEEF,FFFFFF
493-71,3,493,Shakopee-Minneapolis,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=493,EC008C,FFFFFF
495-71,3,495,Shakopee-Burnsville-Mall of America,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=495,EC008C,FFFFFF
497-71,3,497,Downtown Shakopee,Local Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=497,008641,FFFFFF
499-71,3,499,Shakopee-Southbridge,Local Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=499,89564F,FFFFFF
903-71,0,RED,METRO Red Line,BRT Weekday-Saturday-Sunday,3,http://www.mvta.com/bus_route_information_2.html?routeId=903,FF0000,FFFFFF
